Repo Name,Contributing Guildlines Link,Commenting Practice Related Content,label,,A's label,B's label,Final label
headius/jruby-pg,https://github.com/headius/jruby-pg,\,,,,,
CorfuDB/CorfuDB,https://github.com/CorfuDB/CorfuDB,\,,,,,
spring-projects/spring-data-solr,https://github.com/spring-projects/spring-data-build/blob/main/CONTRIBUTING.adoc,\,,,,,
nodebox/nodebox,https://github.com/nodebox/nodebox,\,,,,,
fossasia/open-event-droidgen,https://github.com/fossasia/open-event-droidgen/blob/development/docs/codestyle.md,"FIXME must not be committed in the repository use TODO instead. FIXME can be used in your own local repository only.
",,,what->required->TODO,what->required->TODO,what->required->TODO
codenameone/CodenameOne,https://github.com/codenameone/CodenameOne/blob/master/CONTRIBUTING.md,\,,,,,
xbony2/Nuclear-Control,https://github.com/xbony2/Nuclear-Control,\,,,,,
alibaba/arthas,https://github.com/alibaba/arthas/blob/master/CONTRIBUTING.md,\,,,,,
mifos/head,https://github.com/mifos/head,\,,,,,
apache/hive,https://cwiki.apache.org/confluence/display/Hive/HowToContribute,"All public classes and methods should have informative Javadoc comments.
Do not use @author tags.
Please do not:
comment out code that is now obsolete: just remove it;
insert comments around each change, marking the change: folks can use git to figure out what's changed and by whom;
Please do:
comment code whose function or rationale is not obvious;
update documentation (such as Javadocs including package.html files and this wiki).



",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update
structurizr/java,https://github.com/structurizr/java,\,,,,,
google/gson,https://github.com/google/.github/blob/b568cae231cb34535b64014a495c89c020328cff/CONTRIBUTING.md,\,,,,,
apache/stanbol,http://stanbol.apache.org/development/coding.html,\,,,,,
mojohaus/versions-maven-plugin,https://github.com/mojohaus/versions-maven-plugin,\,,,,,
javaparser/javaparser,"https://github.com/javaparser/javaparser/blob/master/CONTRIBUTING.md
https://github.com/javaparser/javaparser/wiki/Coding-Guidelines
https://javaparser.org/code-style-architecture/","When deprecating, there must always be an explanation in the Javadoc telling what the new way of doing things is.",,,what->required->relationship,what->required->relationship,what->required->relationship
mtotschnig/MyExpenses,https://github.com/mtotschnig/MyExpenses,\,,,,,
palantir/conjure-java-runtime,\,\,,,,,
OpenCubicChunks/CubicChunks,https://github.com/OpenCubicChunks/CubicChunks/tree/MC_1.12/code-formatters,\,,,,,
mdeverdelhan/ta4j-origins,https://github.com/mdeverdelhan/ta4j-origins/blob/master/.github/CONTRIBUTING.md,\,,,,,
apache/aurora,"https://github.com/apache/aurora/blob/master/CONTRIBUTING.md
https://github.com/twitter-archive/commons/blob/master/src/java/com/twitter/common/styleguide.md","The more visible a piece of code is (and by extension - the farther away consumers might be), the more documentation is needed.
Documentation for a class may range from a single sentence to paragraphs with code examples. Documentation should serve to disambiguate any conceptual blanks in the API, and make it easier to quickly and correctly use your API. A thorough class doc usually has a one sentence summary and, if necessary, a more detailed explanation.
A method doc should tell what the method does. Depending on the argument types, it may also be important to document input format.
Don't document overriding methods (usually)
No author tags
Code can change hands numerous times in its lifetime, and quite often the original author of a source file is irrelevant after several iterations. We find it's better to trust commit history and OWNERS files to determine ownership of a body of code.

Leave TODOs early and often
A TODO isn't a bad thing - it's signaling a future developer (possibly yourself) that a consideration was made, but omitted for various reasons. It can also serve as a useful signal when debugging.

Leave no TODO unassigned
TODOs should have owners, otherwise they are unlikely to ever be resolved.
",,,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->usage what->required->TODO what->forbidden->author_tag,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->usage what->required->TODO what->forbidden->author_tag,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->usage what->required->TODO what->forbidden->author_tag
cloudera/sqoop,\,\,,,,,
codebutler/farebot,\,\,,,,,
epimorphics/elda,https://github.com/epimorphics/elda/blob/master/CONTRIBUTING.md,\,,,,,
igniterealtime/Spark,\,\,,,,,
yigit/android-priority-jobqueue,\,\,,,,,
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator/blob/9b57c8fc715f3e6ae018bf3ff4d90b43e16613e0/.github/CONTRIBUTING.md,\,,,,,
aaberg/sql2o,https://github.com/aaberg/sql2o/wiki/Coding-guidelines,\,,,,,
hcoles/pitest,https://github.com/hcoles/pitest/blob/master/ISSUES.md,\,,,,,
sismics/reader,\,\,,,,,
danfickle/openhtmltopdf,\,\,,,,,
caelum/mamute,\,\,,,,,
kiegroup/drools-wb,\,\,,,,,
magnusja/libaums,\,\,,,,,
TNG/ArchUnit,https://github.com/TNG/ArchUnit/blob/main/CONTRIBUTING.md,\,,,,,
gluonhq/scenebuilder,\,\,,,,,
spring-projects/spring-security,https://github.com/spring-projects/spring-security/blob/main/CONTRIBUTING.adoc,"Use @since tags for newly-added public API types and methods
",,,what->required->creation_date,what->required->creation_date,what->required->creation_date
DeviceConnect/DeviceConnect-Android,\,\,,,,,
structr/structr,\,\,,,,,
williewillus/Botania,https://github.com/williewillus/Botania/blob/master/contributing.md,\,,,,,
taweili/ardublock,\,\,,,,,
te-con/ehour,\,\,,,,,
apache/commons-lang,https://github.com/apache/commons-lang/blob/master/CONTRIBUTING.md,\,,,,,
apache/commons-bcel,https://github.com/apache/commons-bcel/blob/master/CONTRIBUTING.md,\,,,,,
apache/bookkeeper,https://cwiki.apache.org/confluence/display/BOOKKEEPER/Coding+Guide,No @author tags in any javadoc,,,what->forbidden->author_tag,what->forbidden->author_tag,what->forbidden->author_tag
bunnyg/Hadoop-GIS,\,\,,,,,
h2oai/h2o-3,https://github.com/h2oai/h2o-3/blob/master/CONTRIBUTING.md,\,,,,,
JikesRVM/JikesRVM,"https://www.jikesrvm.org/Contributions/
https://www.jikesrvm.org/UserGuide/ModifyingJikesRVM/index.html#x9-790007.2","All non-trivial ﬁles should contain descriptive comments in JavadocTM form so that documentation can be generated automatically. Of course, additional non-Javadoc source code comments should appear as appropriate.
Classes, methods and ﬁelds should have a block comment describing them if it makes sense. There is no need to add comments merely for the sake of commenting. For example, it is not necessary to add a comment for a method if the comment does not provide more information than the signature and the method name already do.
JavaDoc comments must not be copied from methods that are being overriden. If the comment from the method that you are overriding is suﬃcient, you do not need to provide JavaDoc for the newly added method - JavaDoc will automatically copy the JavaDoc from the overriden method. If you want to extend the comment from the overriden method with new information, use @inheritDoc to copy the comment from the superclass and add your text.
JavaDoc for methods contains a short description of their arguments (using @param), the return value (using @return) and the exceptions they may throw (using @throws).
Each class should include @see and @link references as appropriate.",,,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->complex_code where->general_rules->implicit->nontrivial_public_method what->required->usage what->required->@link,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->complex_code where->general_rules->implicit->nontrivial_public_method what->required->usage what->required->@link,where->general_rules->explicit->none_in_overriding_methods where->general_rules->implicit->complex_code where->general_rules->implicit->nontrivial_public_method what->required->usage what->required->@link
SonarSource/sonarqube,"https://github.com/SonarSource/sonarqube/blob/ad4a7f986be16f5abd2ef118938ea944a5d2ad22/docs/contributing.md
https://github.com/SonarSource/sonar-developer-toolset#code-style",\,,,,,
RestComm/jss7,https://github.com/RestComm/jss7/wiki/Contribute,\,,,,,
GluuFederation/oxAuth,https://github.com/GluuFederation/oxAuth/blob/version_4.3.0/.github/ISSUE_TEMPLATE/issue-report.md,\,,,,,
sarl/sarl,https://github.com/sarl/sarl/blob/master/CONTRIBUTING.adoc,"Pull request guidelines, and code style guidelines, Travis-Cl or AppVeyor",,,,,
MIT-PAC/droidsafe-src,\,\,,,,,
apache/reef,https://cwiki.apache.org/confluence/display/REEF/Coding+Guidelines,"Do not use the @author Javadoc tag. (Be modest ! :-))
We require to add comments to generate proper JavaDoc and XMLDoc documentation. In addition to this requirement, we encourage committers to add comments (if needed) to make code easier to understand. 

Class
Interface
Public constructor
Public method
Important fields
Code part that captures complex logic",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->author_tag,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->author_tag,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->author_tag
apache/nifi,https://cwiki.apache.org/confluence/display/NIFI/Contributor+Guide,\,,,,,
aeshell/aesh,https://github.com/aeshell/aesh/tree/master/config,\,,,,,
ForestryMC/ForestryMC,https://github.com/ForestryMC/ForestryMC/blob/mc-1.12/CONTRIBUTING.md,\,,,,,
LiveRamp/hank,\,\,,,,,
Multiverse/Multiverse-3,https://github.com/Multiverse/Multiverse-3,\,,,,,
pentaho/pentaho-reporting,\,\,,,,,
FreeCol/freecol,https://github.com/FreeCol/freecol/blob/master/doc/developer.tex,"The code you contribute to FreeCol will be read and modified by
several different developers. Therefore it is important to create
a block of JavaDoc documentation with all methods/classes/packages
you implement.",,,where->general_rules->implicit->nontrivial_public_method,where->general_rules->implicit->nontrivial_public_method,where->general_rules->implicit->nontrivial_public_method
imglib/imglib2,\,\,,,,,
realm/realm-java,https://github.com/realm/realm-java/blob/master/CONTRIBUTING.md,"All public classes and methods must have Javadoc describing their purpose.
Method descriptions begin with a verb phrase, e.g. ""Checks"" instead of ""Check"".
Capitalize the first letter of the method and @deprecated descriptions. Everything else starts with lower case.
Empty line between method description and the rest.
End all descriptions with a period . (except @see).
Reference other Realm classes using {@link ...}.
Wrap Java values in {@code ...}.
@throws description must start with ""if"".
Never list generic exceptions like RuntimeException, Exception or Error. Always reference the specific error.
Line-length maximum is 120 chars. Parameter descriptions that go above this, should be split into multiple lines and indented. Otherwise do not use indentation (contrary to Oracle guidelines).
",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->purpose what->required->@code what->required->@link other->readability->language other->readability->space_indent,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->purpose what->required->@code what->required->@link other->readability->language,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->purpose what->required->@code what->required->@link other->readability->language other->readability->space_indent
Multibit-Legacy/multibit,\,\,,,,,
netty/netty,https://netty.io/wiki/developer-guide.html,\,,,,,
OpenRock/OpenDJ,\,\,,,,,
processing/processing-android,\,\,,,,,
SpartanRefactoring/Main,https://github.com/SpartanRefactoring/Main/wiki/Coding-Standards,\,,,,,
MIT-PAC/droidsafe-src,\,\,,,,,
randoop/randoop,https://randoop.github.io/randoop/manual/dev.html#codeformatting,\,,,,,
magja/magja,\,\,,,,,
entando/entando-core,\,\,,,,,
DICE-UNC/jargon,\,\,,,,,
rapla/rapla,\,\,,,,,
restlet/restlet-framework-java,https://github.com/restlet/restlet-framework-java/wiki/Contribute,\,,,,,
xwiki/xwiki-platform,https://dev.xwiki.org/xwiki/bin/view/Community/Contributing#HDocumentation,"All new functionality needs to be documented for users, even if it is very rough for someone to expand on later. While rough is acceptable, incomplete is not. As with automated testing, as a community we are striving to increase the current coverage of documentation.",,,where->general_rules->explicit->all_methods,where->general_rules->explicit->all_methods,where->general_rules->explicit->all_methods
yamcs/yamcs,\,\,,,,,
ankidroid/Anki-Android,https://github.com/ankidroid/Anki-Android/wiki/Development-Guide,"Adding javadoc to class, members, and methods that are not yet properly documented",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes,where->general_rules->implicit->nontrivial_public_method,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes
CS-SI/Orekit,"https://github.com/CS-SI/Orekit/blob/develop/src/site/markdown/contributing.md
https://www.orekit.org/site-orekit-latest/guidelines.html","all elements have complete javadoc, even private fields and methods (there are some rare exceptions, in case of code translated from the fortran language and models with huge parameters sets),

",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields
IQSS/dataverse,"https://github.com/IQSS/dataverse/blob/develop/CONTRIBUTING.md
https://guides.dataverse.org/en/latest/developers/coding-style.html",\,,,,,
kaaproject/kaa,\,\,,,,,
movsim/movsim,\,\,,,,,
restfb/restfb,https://github.com/restfb/restfb/blob/e6b679f794724535ccd5c6a1fc040c9a3c14a231/.github/CONTRIBUTING.md,\,,,,,
todoroo/astrid,\,\,,,,,
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy/wiki/DevGuidelines,"Any changes to the Paros classes (under the org.parosproxy.paros packages) should be commented at the beginning of the class (This is a requirement of the Paros licence), and the comments should start with // ZAP: YYYY/MM/DD
Do not add ""(non-Javadoc)"" comments to overriding methods (the default comment automatically added when overriding a method).
Comments should be used to aide in increasing readability and classifying/tagging portions of Unit Test functions, such as: \\Given, \\When, \\Then. Example:",,,where->general_rules->explicit->none_in_overriding_methods,where->general_rules->explicit->none_in_overriding_methods,where->general_rules->explicit->none_in_overriding_methods
puppetlabs/geppetto,https://github.com/puppetlabs/geppetto/blob/dev/Contributing.md,\,,,,,
Q0rDev/MChat,\,\,,,,,
scifio/scifio,\,\,,,,,
eXist-db/exist,https://github.com/eXist-db/exist/blob/develop/CONTRIBUTING.md,\,,,,,
lsds/SEEP,\,\,,,,,
naver/yobi,\,\,,,,,
opendaylight/sfc,\,\,,,,,
estatio/estatio,\,\,,,,,
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/blob/master/CONTRIBUTING.md,\,,,,,
